efficiency_rank,calendar_date,eclipse_count,avg_duration,avg_secs,cumulative_duration,cumulative_secs,count_rank,cumulative_rank,overperformer_delta
344,Nov 15,5,2m32.86s,152.86,12m44.30s,764.30,307,336,-37
345,Dec 2,6,2m32.23s,152.23,15m13.40s,913.40,263,316,-82
346,Oct 18,8,2m32.00s,152.00,20m16.00s,1216.00,174,280,-172
347,Nov 14,7,2m31.80s,151.80,17m42.60s,1062.60,225,300,-122
348,Nov 5,4,2m31.63s,151.63,10m06.50s,606.50,331,350,-17
349,Nov 30,8,2m31.05s,151.05,20m08.40s,1208.40,174,281,-175
350,Nov 25,5,2m30.60s,150.60,12m33.00s,753.00,307,337,-43
351,Jan 19,4,2m27.77s,147.77,9m51.10s,591.10,331,351,-20
352,Nov 22,2,2m27.70s,147.70,4m55.40s,295.40,362,365,10
353,Jan 23,6,2m27.48s,147.48,14m44.90s,884.90,263,320,-90
354,Dec 29,7,2m27.47s,147.47,17m12.30s,1032.30,225,304,-129
355,Nov 8,8,2m27.26s,147.26,19m38.10s,1178.10,174,286,-181
356,Dec 28,5,2m24.92s,144.92,12m04.60s,724.60,307,340,-49
357,Dec 14,3,2m23.90s,143.90,7m11.70s,431.70,352,363,-5
358,Jan 16,5,2m22.50s,142.50,11m52.50s,712.50,307,343,-51
359,Dec 25,2,2m22.45s,142.45,4m44.90s,284.90,362,366,3
360,Feb 20,8,2m18.91s,138.91,18m31.30s,1111.30,174,295,-186
361,Mar 7,4,2m16.93s,136.93,9m07.70s,547.70,331,355,-30
362,Oct 25,4,2m16.52s,136.52,9m06.10s,546.10,331,356,-31
363,Dec 6,6,2m14.82s,134.82,13m28.90s,808.90,263,328,-100
364,Nov 19,7,2m13.46s,133.46,15m34.20s,934.20,225,314,-139
365,Dec 17,5,2m09.20s,129.20,10m46.00s,646.00,307,348,-58
366,Jan 29,4,1m51.25s,111.25,7m25.00s,445.00,331,362,-35
