year,date,saros,type,ge_sun_alt,corridor_min_sun_alt,land_min_sun_alt,corridor_max_totality_s,continents,countries,closest_town,closest_cc,closest_dist_km,land_lat,land_lon,lat_range,lon_range
2375,2375-11-24,158,T,57.6,0.2,0.2,107.7,Oceania,NZ,Te Anau,NZ,69,-45.82,167.04,-49.2..-45.8,158.1..167.0
2583,2583-03-15,139,T,18.5,0.2,6.2,30.8,Oceania,NZ,Waitangi,NZ,48,-43.56,-176.24,-79.5..-42.5,-179.8..179.6
2672,2672-06-17,167,T,45.4,0.2,4.7,181.8,Asia,KZ,Koktal,KZ,13,48.55,76.04,46.0..49.7,73.7..81.3
2689,2689-07-09,157,Tm,83.7,0.5,5.6,153.3,Oceania,TV,Kulia Village,TV,109,-5.62,178.19,-7.6..-3.0,-177.1..178.2
2255,2255-05-07,142,T,89.7,0.5,9.8,194.8,Oceania,GU,Inarajan Village,GU,70,12.86,145.24,10.3..13.6,142.7..154.0
2949,2949-07-17,161,T,65.8,0.8,5.3,29.7,Oceania,AU,Childers,AU,21,-25.07,152.17,-26.9..-23.0,147.3..156.7
2964,2964-04-03,164,T,86.8,0.8,0.8,35.9,North America,CU DO,Cauto Cristo,CU,5,20.11,-71.44,20.1..21.0,-83.2..-71.4
2075,2075-01-16,142,T,73.5,0.9,12.3,60.0,South America,BR,Ilheus,BR,85,-14.82,-38.25,-14.8..-10.5,-38.3..-28.0
2507,2507-10-07,142,T,23.5,1.0,1.0,155.9,Europe,ES PT,Puebla de Guzman,ES,5,37.77,-2.26,37.6..38.1,-13.6..-2.3
2045,2045-08-12,136,T,77.6,1.1,12.6,209.6,South America,BR,Itamaraca,BR,118,-7.81,-33.76,-11.3..-7.8,-33.8..-23.2
2990,2990-05-15,173,T,61.7,1.1,1.1,170.9,North America,CA US,Machiasport,US,3,44.68,-67.36,44.7..47.5,-75.4..-67.4
2489,2489-09-25,142,T,29.8,1.2,1.2,166.9,Asia,CN,Pinglin,CN,4,31.23,118.67,31.2..32.2,107.8..118.7
2295,2295-09-10,149,Tm,84.4,1.2,13.6,69.1,Oceania,SB,Lata,SB,103,-10.06,166.50,-11.6..-10.1,166.5..178.3
2835,2835-09-14,177,T,32.1,1.2,1.2,34.2,North America,US,North Rock Springs,US,11,40.36,-98.71,40.4..41.7,-109.4..-98.7
2238,2238-04-15,152,T,38.7,1.3,1.3,151.9,Africa,ZA,Constantia,ZA,16,-34.62,22.14,-34.6..-33.2,11.3..22.1
2817,2817-09-02,177,T,24.8,1.4,1.4,50.3,Europe,CZ DE HU,Steinheid,DE,4,48.30,21.30,48.3..50.5,11.0..21.3
2158,2158-07-25,148,T,65.9,1.4,5.5,84.6,Africa,SH,Edinburgh of the Seven Seas,SH,78,-37.76,-12.14,-39.6..-36.0,-16.1..-7.6
2681,2681-06-08,148,T,53.2,1.4,1.4,185.3,Asia,AF IR,Gomishan,IR,7,33.51,61.62,33.5..37.7,52.7..61.6
2291,2291-05-28,142,T,83.2,1.4,5.8,207.8,North America/South America,CO HN NI,Talanga,HN,10,11.83,-81.06,10.2..14.3,-87.2..-77.1
2193,2193-03-03,133,T,61.9,1.4,5.5,90.8,Africa,KE SO TZ,Magadi,KE,23,-0.49,42.22,-2.2..0.1,34.6..46.1
2987,2987-01-20,176,T,59.0,1.5,1.5,99.8,South America,AR CL,Diego de Almagro,CL,51,-23.18,-63.09,-27.2..-23.2,-72.9..-63.1
2692,2692-10-31,154,T,58.5,1.5,1.5,146.8,South America,CO,El Carmen,CO,7,6.71,-71.44,4.5..6.7,-81.9..-71.4
2502,2502-02-08,158,T,60.7,1.5,1.5,82.5,South America,BR,Rio Verde de Mato Grosso,BR,20,-16.40,-46.18,-19.8..-16.4,-56.9..-46.2
2436,2436-08-13,152,Tm,87.1,1.6,11.2,84.1,Oceania,PF,Moerai,PF,57,-22.96,-151.27,-26.1..-23.0,-151.3..-141.7
2627,2627-05-07,148,T,65.4,1.6,1.6,176.6,Asia,IQ SY TR,Taskent,TR,7,34.28,41.25,34.3..36.9,32.5..41.2
2214,2214-07-08,130,T,26.4,1.6,1.6,77.4,Asia/Europe,KZ RU,Temir,KZ,16,46.95,61.51,46.9..50.6,55.0..61.5
2841,2841-05-12,161,T,89.1,1.6,1.6,65.9,Asia,CN MM VN,Liushun,CN,9,20.63,107.06,20.6..23.5,97.7..107.1
2574,2574-03-24,158,T,65.0,1.7,9.4,94.8,Oceania,PG,Wau,PG,64,-7.27,147.29,-7.4..-7.2,143.8..154.7
2740,2740-04-18,160,T,81.5,1.8,5.8,50.6,Asia,MV,Dhidhdhoo,MV,67,7.47,72.94,6.8..8.6,65.7..76.8
2223,2223-07-28,149,T,68.5,1.8,1.8,127.1,North America,GT MX SV,El Arador,MX,3,12.88,-87.83,12.9..16.5,-97.2..-87.8
2371,2371-08-11,151,T,85.2,1.9,1.9,123.1,South America,BR,Severiano Melo,BR,8,-6.94,-34.26,-6.9..-3.8,-44.0..-34.3
2444,2444-09-12,161,T,56.1,1.9,1.9,197.9,Africa,CV MR,Tekane,MR,22,16.41,-11.96,16.4..17.7,-22.5..-12.0
